Trial,Mouse X,Mouse Y,Cursor X,Cursor Y,Rotation
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-2.0,5.0,-2.0,0.0
0,5.0,-1.0,5.0,-1.0,0.0
0,5.0,8.0,5.0,8.0,0.0
0,5.0,18.0,5.0,18.0,0.0
0,5.0,28.0,5.0,28.0,0.0
0,5.0,42.0,5.0,42.0,0.0
0,3.0,57.0,3.0,57.0,0.0
0,3.0,67.0,3.0,67.0,0.0
0,2.0,82.0,2.0,82.0,0.0
0,1.0,104.0,1.0,104.0,0.0
0,-1.0,123.0,-1.0,123.0,0.0
0,-2.0,145.0,-2.0,145.0,0.0
0,-2.0,163.0,-2.0,163.0,0.0
0,-1.0,175.0,-1.0,175.0,0.0
0,2.0,187.0,2.0,187.0,0.0
0,5.0,197.0,5.0,197.0,0.0
0,6.0,201.0,6.0,201.0,0.0
0,7.0,204.0,7.0,204.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
0,7.0,205.0,7.0,205.0,0.0
